AccountName,AccountId,Environment,Region,VolumeId,VolumeType,SizeGiB,Encrypted,Iops,Throughput,State,IsUnattached,AttachedInstanceId,AttachedInstanceType,AttachedInstanceArn,AttachedInstanceLaunchTime,IsRootVolume
Charles Mount,198161015548,prod-finance,us-east-1,vol-5bc10593,gp3,2000,False,6000,250,in-use,False,i-a9752240,m3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-a9752240,2023-09-14T22:04:17+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-07cc36afc4bb8ee9f,sc1,3072,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0e261936cf812ce54,gp3,100,False,3000,125,in-use,False,i-00823396f38206fdb,t2.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-00823396f38206fdb,2025-10-31T18:01:53+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-05bfe000b0fd41867,gp3,20,False,3000,125,in-use,False,i-05bc73a0c7e562ce0,m3.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-05bc73a0c7e562ce0,2023-01-18T17:17:55+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-07b64f7e44e35dcb5,sc1,3072,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-02d2292b7df94944a,gp3,100,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-086c01ca4acd41b0c,sc1,3072,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-08a6e6ab158fa3ef6,gp3,30,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0c06bf786015791ce,gp3,100,False,3000,125,in-use,False,i-059b953a2e312a39c,c4.4xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-059b953a2e312a39c,2022-09-29T18:40:52+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-06caf610234f2415d,gp3,8,False,3000,125,in-use,False,i-0eb8bbfffdd2f3ec7,c4.large,arn:aws:ec2:us-east-1:198161015548:instance/i-0eb8bbfffdd2f3ec7,2017-09-21T17:44:01+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-04a6455707fddf6d5,gp3,100,False,3000,125,in-use,False,i-047dbab75f6716d09,t2.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-047dbab75f6716d09,2022-11-25T16:19:35+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-dc81fcaa,gp3,100,False,3000,125,in-use,False,i-52cfda7c,c3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-52cfda7c,2021-10-14T20:18:26+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-b7cd3257,gp3,100,False,3000,125,in-use,False,i-42700397,m4.large,arn:aws:ec2:us-east-1:198161015548:instance/i-42700397,2022-04-20T19:00:31+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-be39dc11,gp3,2048,False,6144,250,in-use,False,i-2c7f76f9,c4.4xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-2c7f76f9,2022-09-29T18:57:04+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-02b8d11a200f79d63,sc1,3072,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0a322923ffcb5c406,gp3,100,True,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-5e0d86be,gp3,50,False,3000,125,in-use,False,i-fafc372e,c4.2xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-fafc372e,2020-09-09T01:42:38+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-07c2607c9c9b0cb6c,sc1,3072,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0f204bdda5b774af1,sc1,3072,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-046e153a3c66b7e46,gp3,100,False,3000,125,in-use,False,i-072f2909dbd9bb9dc,c4.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-072f2909dbd9bb9dc,2022-04-13T19:47:00+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-0b4cceea9a3ef8d7b,gp3,30,False,3000,125,in-use,False,i-00053af887e6eb4d6,t2.micro,arn:aws:ec2:us-east-1:198161015548:instance/i-00053af887e6eb4d6,2024-02-08T09:24:46+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-8a0e98cf,gp3,100,False,3000,125,in-use,False,i-a409368e,c3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-a409368e,2021-06-04T23:51:24+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-81697f61,gp3,100,False,3000,125,in-use,False,i-385dafef,c4.large,arn:aws:ec2:us-east-1:198161015548:instance/i-385dafef,2024-07-17T02:05:39+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-9c5c2572,gp3,100,False,3000,125,in-use,False,i-9e859f4e,t2.micro,arn:aws:ec2:us-east-1:198161015548:instance/i-9e859f4e,2017-05-30T16:54:37+00:00,True
