AccountName,AccountId,Environment,Region,VolumeId,VolumeType,SizeGiB,Encrypted,Iops,Throughput,State,IsUnattached,AttachedInstanceId,AttachedInstanceType,AttachedInstanceArn,AttachedInstanceLaunchTime,IsRootVolume
AWS Development,013612877090,dev,us-west-2,vol-0f11fdfbb01a967d4,gp2,2,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-0776961ce5d6d328e,gp2,8,True,100,,in-use,False,i-0cf44d614d3181f57,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0cf44d614d3181f57,2025-12-02T04:25:23+00:00,False
AWS Development,013612877090,dev,us-west-2,vol-0de4c0990efe883c2,gp3,100,True,3000,125,in-use,False,i-0240c9bbaa797b29f,t3.small,arn:aws:ec2:us-west-2:013612877090:instance/i-0240c9bbaa797b29f,2025-06-12T05:00:23+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0b8803ba3517b5b62,gp3,200,True,3000,125,in-use,False,i-0a1f0faaefc2131f6,g6e.4xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0a1f0faaefc2131f6,2025-06-06T18:56:42+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-00c9625af9421563e,gp2,2,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-0abb3095f7cc0697d,gp3,100,True,3000,125,in-use,False,i-00e93682d3972d406,t3.small,arn:aws:ec2:us-west-2:013612877090:instance/i-00e93682d3972d406,2025-09-10T05:08:25+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0c687911dcb69116e,gp2,30,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-02fa5e5df1d750dfe,gp2,20,True,100,,in-use,False,i-04df03a484e5eda5b,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-04df03a484e5eda5b,2025-12-02T19:04:19+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0f7b132c981e091d4,gp2,8,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-0edb7d4acec75e04a,gp2,2,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-089161fd849427af6,gp2,2,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-0bdfdb79868222052,gp2,20,True,100,,in-use,False,i-0aa533f081f8168b9,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0aa533f081f8168b9,2025-12-03T18:01:29+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0669cca0d7a6680e0,gp2,20,True,100,,in-use,False,i-0300e2ee1196d66fc,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0300e2ee1196d66fc,2025-12-03T18:01:50+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-06a3da832b75d5dfd,gp2,75,True,225,,in-use,False,i-00d00c0519c30ed01,m7a.large,arn:aws:ec2:us-west-2:013612877090:instance/i-00d00c0519c30ed01,2025-02-26T04:29:22+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-05930310f88562e37,gp2,50,True,150,,in-use,False,i-0a0cd207b826e4fa8,t3.medium,arn:aws:ec2:us-west-2:013612877090:instance/i-0a0cd207b826e4fa8,2025-07-03T19:17:18+00:00,True
