"AccountId","AccountName","Region","InstanceId","InstanceType","State","Platform","PrivateIP","Name","Lifecycle"
"223347559318","Development","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"223347559318","Development","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"145260055644","Onehub Development","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"145260055644","Onehub Development","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"145260055644","Onehub Development","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"145260055644","Onehub Development","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"145260055644","Onehub Development","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"145260055644","Onehub Development","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"198161015548","Charles Mount","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"198161015548","Charles Mount","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"198161015548","Charles Mount","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"198161015548","Charles Mount","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"198161015548","Charles Mount","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"198161015548","Charles Mount","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"872864771989","Brian Moran","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"872864771989","Brian Moran","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"872864771989","Brian Moran","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"872864771989","Brian Moran","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"872864771989","Brian Moran","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"872864771989","Brian Moran","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
