"AccountId","AccountName","Region","InstanceId","InstanceType","State","Platform","Name","Lifecycle","HourlyRate","MonthlyCost","PotentialMonthlyCost"
"946447852237","Cortado Production","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","Uptime Robot","on-demand","0.0116","0","8.47"
"946447852237","Cortado Production","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","KSE-SecOps","on-demand","0.0116","0","8.47"
"946447852237","Cortado Production","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","N/A","on-demand","0.0116","0","8.47"
"145462881720","cortado-staging","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","Kali Linux","on-demand","0.0464","0","33.87"
"145462881720","cortado-staging","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","N/A","on-demand","0.0162","0","11.83"
"145462881720","cortado-staging","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","Ansible","on-demand","0.0116","0","8.47"
"145462881720","cortado-staging","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","Uptime Robot","on-demand","0.0116","0","8.47"
"145462881720","cortado-staging","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","KSE-SecOps","on-demand","0.0116","0","8.47"
"145462881720","cortado-staging","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","N/A","on-demand","0.0116","0","8.47"
"317609321563","doppio-production","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","Kali Linux","on-demand","0.0464","0","33.87"
"317609321563","doppio-production","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","N/A","on-demand","0.0162","0","11.83"
"317609321563","doppio-production","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","Ansible","on-demand","0.0116","0","8.47"
"317609321563","doppio-production","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","Uptime Robot","on-demand","0.0116","0","8.47"
"317609321563","doppio-production","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","KSE-SecOps","on-demand","0.0116","0","8.47"
"317609321563","doppio-production","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","N/A","on-demand","0.0116","0","8.47"
"582520650702","formkiq_dev","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","Kali Linux","on-demand","0.0464","0","33.87"
"582520650702","formkiq_dev","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","N/A","on-demand","0.0162","0","11.83"
"582520650702","formkiq_dev","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","Ansible","on-demand","0.0116","0","8.47"
"582520650702","formkiq_dev","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","Uptime Robot","on-demand","0.0116","0","8.47"
"582520650702","formkiq_dev","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","KSE-SecOps","on-demand","0.0116","0","8.47"
"582520650702","formkiq_dev","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","N/A","on-demand","0.0116","0","8.47"
"223347559318","Development","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","Kali Linux","on-demand","0.0464","0","33.87"
"223347559318","Development","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","N/A","on-demand","0.0162","0","11.83"
"223347559318","Development","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","Ansible","on-demand","0.0116","0","8.47"
"223347559318","Development","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","Uptime Robot","on-demand","0.0116","0","8.47"
"223347559318","Development","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","KSE-SecOps","on-demand","0.0116","0","8.47"
"223347559318","Development","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","N/A","on-demand","0.0116","0","8.47"
"145260055644","Onehub Development","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","Kali Linux","on-demand","0.0464","0","33.87"
"145260055644","Onehub Development","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","N/A","on-demand","0.0162","0","11.83"
"145260055644","Onehub Development","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","Ansible","on-demand","0.0116","0","8.47"
"145260055644","Onehub Development","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","Uptime Robot","on-demand","0.0116","0","8.47"
"145260055644","Onehub Development","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","KSE-SecOps","on-demand","0.0116","0","8.47"
"145260055644","Onehub Development","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","N/A","on-demand","0.0116","0","8.47"
"198161015548","Charles Mount","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","Kali Linux","on-demand","0.0464","0","33.87"
"198161015548","Charles Mount","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","N/A","on-demand","0.0162","0","11.83"
"198161015548","Charles Mount","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","Ansible","on-demand","0.0116","0","8.47"
"198161015548","Charles Mount","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","Uptime Robot","on-demand","0.0116","0","8.47"
"198161015548","Charles Mount","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","KSE-SecOps","on-demand","0.0116","0","8.47"
"198161015548","Charles Mount","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","N/A","on-demand","0.0116","0","8.47"
"872864771989","Brian Moran","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","Kali Linux","on-demand","0.0464","0","33.87"
"872864771989","Brian Moran","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","N/A","on-demand","0.0162","0","11.83"
"872864771989","Brian Moran","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","Ansible","on-demand","0.0116","0","8.47"
"872864771989","Brian Moran","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","Uptime Robot","on-demand","0.0116","0","8.47"
"872864771989","Brian Moran","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","KSE-SecOps","on-demand","0.0116","0","8.47"
"872864771989","Brian Moran","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","N/A","on-demand","0.0116","0","8.47"
